OID_;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstige;ULICHTVERH;IstGkfz;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLAE;IstStrassenzustand
163813;5;5;66;76;2021;6;18;6;3;2;1;1;1;0;0;0;0;0;395799,297150609083474;5793778,210925254970789;7,472410553000032;52,284476447000031;5210604709500470000;0
163815;5;5;15;0;2021;10;15;7;3;5;2;1;1;0;0;0;0;0;402295,907999974675477;5754690,561999654397368;7,578833857000063;51,934350027000050;5211023702100870000;0
163816;5;9;13;0;2021;6;17;2;3;5;3;1;1;0;0;0;0;0;398834,481999969109893;5712301,977999631315470;7,540831249000064;51,552725598000052;5210628301306380000;0
163824;5;9;13;0;2021;10;12;2;3;1;5;1;0;0;0;1;0;0;393825,082315361127257;5708073,551439937204123;7,469879947000038;51,513798009000027;5211018301101280000;0
163826;5;9;14;0;2021;4;14;4;3;5;1;1;1;0;0;0;0;0;389859,288950061425567;5689000,402886357158422;7,418680820000077;51,341601694000076;5210428302120320000;0
163828;5;5;66;8;2021;2;11;5;2;8;1;1;0;0;0;0;0;0;400797,683172528631985;5780291,823682727292180;7,549616475000050;52,164189495000073;5210204709110980000;1
163832;5;3;74;12;2021;5;5;4;3;3;6;1;1;0;0;0;1;0;398410,555105257779360;5655544,319587673991919;7,550875122000036;51,042447480000078;5210519605112090000;0
163838;5;9;13;0;2021;9;20;3;2;0;1;1;0;0;0;0;2;0;394881,537589840590954;5712482,527511764317751;7,483782762000033;51,553625774000068;5210928301203270000;0
163839;5;9;13;0;2021;5;13;6;2;5;7;1;1;0;0;0;0;0;392581,961084941402078;5708003,170299176126719;7,451993378000054;51,512930394000080;5210514301101310000;0
163841;5;5;66;8;2021;5;12;2;3;3;6;1;0;0;0;0;0;0;400350,514062209054828;5780650,507703103125095;7,542975632000037;52,167332724000062;5210510709000140000;0
163845;5;9;13;0;2021;1;13;7;3;0;7;1;1;0;0;0;0;0;393188,853356402367353;5707278,419856222346425;7,460955487000035;51,506531065000047;5210109301101680000;1
163848;5;5;15;0;2021;10;19;7;3;0;1;1;0;0;0;0;1;0;404302,768854843452573;5759643,395587112754583;7,606635872000027;51,979216622000081;5211002702100670000;0
163849;5;9;13;0;2021;5;18;6;3;5;7;1;1;0;0;0;0;0;393989,645999960601330;5709563,327999623492360;7,471802403000027;51,527219763000062;5210514301202880000;1
163850;5;9;13;0;2021;11;12;3;3;5;3;1;1;0;0;0;0;0;392415,189999958500266;5706836,718999618664384;7,449946864000026;51,502414104000081;5211102301101500000;0
163854;5;9;13;0;2021;6;6;3;3;0;7;1;1;0;0;0;0;0;392797,425999957136810;5715240,028999622911215;7,452892292000058;51,578018966000059;5210615301203480000;0
163855;5;5;15;0;2021;12;17;4;3;5;3;1;1;0;0;0;2;0;402671,772054601460695;5758133,615247569978237;7,583324224000023;51,965363037000031;5211215702100650000;1
163861;5;5;15;0;2021;6;9;1;3;0;7;1;0;0;0;1;0;0;398473,140909030102193;5753507,117307927459478;7,523598082000035;51,923028878000082;5210606702100630000;0
163862;5;5;58;44;2021;9;18;5;3;0;1;1;0;0;0;0;0;0;395527,689557999372482;5746904,369386643171310;7,482781749000026;51,863138712000080;5210902706300280000;0
163863;5;5;15;0;2021;7;19;2;3;5;3;1;1;0;0;0;0;0;404401,102168709039688;5760325,393421286717057;7,607877107000036;51,985363571000050;5210712702100960000;0
163869;5;9;13;0;2021;10;14;4;2;4;2;1;1;0;0;0;0;0;395896,496170563623309;5705085,268638435751200;7,500602507000053;51,487322911000035;5211013301102080000;0
163871;5;9;13;0;2021;2;6;7;2;5;3;1;1;0;0;0;2;0;392893,525999958626926;5709940,854999618604779;7,455892559000063;51,530406285000026;5210206301202470000;0
163873;5;9;78;40;2021;7;14;3;3;0;3;1;1;0;0;0;0;0;404072,214713228866458;5724254,086049476638436;7,613083412000037;51,661077236000040;5210706317240440000;0
163874;5;5;15;0;2021;6;10;7;3;1;5;1;1;0;0;0;0;0;399205,216161888092756;5756858,709783293306828;7,533257898000045;51,953286366000043;5210626702100940000;0
163877;5;5;66;76;2021;9;7;5;3;0;1;1;0;0;0;0;0;0;393943,462536604143679;5793385,499691383913159;7,445338210000045;52,280592081000066;5210930709500570000;1
163878;5;9;13;0;2021;10;9;2;3;5;3;1;1;0;0;0;0;0;390859,550967758521438;5710254,593663943931460;7,426484172000073;51,532836749000069;5211004301202530000;0
163881;5;9;13;0;2021;10;18;1;3;0;7;1;0;0;0;1;1;0;396878,090466393157840;5705609,739622605964541;7,514582003000044;51,492217094000068;5211017301102100000;0
163882;5;5;15;0;2021;5;11;4;3;8;1;1;0;0;0;0;0;0;403149,703935857862234;5759177,861834581941366;7,589983949000043;51,974832489000050;5210512702100550000;0
163884;5;9;13;0;2021;5;7;2;3;0;5;1;1;0;0;0;0;0;398913,017057733610272;5704720,731808602809906;7,544138368000063;51,484593452000070;5210531301303280000;0
163886;5;5;66;76;2021;6;16;2;3;0;7;1;0;0;0;1;0;0;398616,529999969527125;5787943,498999664559960;7,515448485000036;52,232563672000026;5210607709500010000;0
163889;5;9;13;0;2021;6;17;7;3;1;5;1;1;0;0;0;0;0;397840,591583250090480;5708785,766540138050914;7,527521293000063;51,520940337000070;5210626301302350000;0
163890;5;9;13;0;2021;10;12;5;3;5;2;1;1;0;0;0;0;0;394827,158999961800873;5707803,482999624684453;7,484396302000050;51,511557926000080;5211028301101570000;0
163892;5;9;13;0;2021;12;18;4;3;5;3;1;1;0;0;0;2;0;392377,065521859563887;5707148,853582266718149;7,449302548000048;51,505212444000051;5211201301101280000;1
163896;5;5;66;76;2021;9;17;4;3;5;2;1;1;0;0;0;0;0;393014,180999959819019;5792001,508999658748507;7,432160590000024;52,267973840000082;5210929709500260000;0
163900;5;5;15;0;2021;4;19;6;3;5;3;1;1;0;0;0;0;0;398617,600199510343373;5752859,052096892148256;7,525888886000075;51,917230326000038;5210430702100960000;0
163901;5;5;66;64;2021;10;17;5;2;5;3;1;0;0;0;0;0;0;395972,998117115348577;5771358,575778052210808;7,481834867000032;52,083012805000067;5211014709100570000;0
163902;5;5;15;0;2021;7;19;3;3;5;3;1;1;0;0;0;0;0;404111,743536752648652;5761211,969282599166036;7,603416868000068;51,993282511000075;5210713702100160000;0
163903;5;9;14;0;2021;9;16;1;3;5;2;1;1;0;0;0;0;0;393569,749185929074883;5690954,125504452735186;7,471347778000052;51,359870101000070;5210905302100070000;0
163905;5;5;66;76;2021;5;10;4;3;0;2;1;1;0;0;0;0;0;392713,250707830302417;5792854,443029366433620;7,427481074000070;52,275580662000039;5210526709500030000;0
163907;5;9;13;0;2021;5;13;5;3;5;3;1;1;0;0;0;0;0;400286,364497665315866;5715244,834447335451841;7,560930429000052;51,579436803000078;5210513301306780000;0
163910;5;5;15;0;2021;11;13;6;3;3;2;1;1;0;0;0;0;0;404632,849353854544461;5755087,078379878774285;7,612705273000074;51,938319458000080;5211105702100370000;0
163912;5;5;66;20;2021;3;16;3;2;3;7;1;0;0;0;0;0;0;404814,644999976269901;5804119,176999678835273;7,601603083000043;52,379054094000026;5210316709700770000;0
163913;5;9;13;0;2021;3;18;4;3;0;6;1;1;0;0;0;0;0;394240,820224210619926;5705132,060613598674536;7,476750864000053;51,487436270000046;5210331301102060000;0
163916;5;9;13;0;2021;6;20;7;2;0;1;1;0;0;0;0;0;0;390775,102166874334216;5708005,655708782374859;7,425964358000044;51,512606300000073;5210626301201580000;0
163922;5;5;66;76;2021;6;15;2;3;0;3;1;1;0;0;0;0;0;394654,564048460684717;5795859,429243655875325;7,454984447000072;52,302962626000067;5210628709500930000;0
163928;5;9;13;0;2021;6;10;6;3;5;3;1;1;0;0;0;0;0;393687,753999960608780;5707162,306999620050192;7,468176393000022;51,505581466000081;5210618301101680000;0
163929;5;9;13;0;2021;10;15;2;3;1;7;1;1;0;0;0;0;0;391848,314796966500580;5703008,256765410304070;7,442955418000054;51,467894065000053;5211018301103580000;0
163930;5;5;62;36;2021;11;6;3;2;0;1;1;0;0;0;0;1;0;390827,025828023441136;5719981,204941960051656;7,422992031000035;51,620255259000032;5211102701930540000;1
163932;5;9;78;28;2021;3;21;5;3;5;3;1;1;0;0;0;2;0;399287,485999968834221;5699884,153999626636505;7,550907481000024;51,441184733000057;5210304317140660000;1
