OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
107985;5;1;11;0;2019;5;16;5;3;5;3;0;1;1;0;0;0;0;347077,041942325420000;5679519,975930815600000;6,808920892000060;51,246518008000066;0
107992;5;7;54;28;2019;5;15;5;3;5;3;0;1;1;0;0;0;0;451133,410699511880000;5745194,212382575500000;8,290462986000023;51,855405908000080;0
107995;5;5;54;16;2019;5;11;6;3;1;3;0;1;1;0;0;0;0;363879,408471710980000;5756911,117213200800000;7,019473093000045;51,946234254000046;1
107996;5;7;11;0;2019;5;8;5;3;5;3;0;1;1;0;0;0;0;468742,853815890850000;5770013,166501885300000;8,543879178000054;52,079810444000032;0
107998;5;1;62;16;2019;5;15;6;2;6;4;0;1;0;1;0;0;0;333820,975583294410000;5678301,393795648600000;6,619722296000020;51,231862105000062;1
108007;5;9;74;4;2019;5;13;7;2;5;3;0;1;1;0;0;0;0;449830,658759754150000;5712305,682918259900000;8,276282816000048;51,559599883000033;0
108009;5;3;34;4;2019;5;16;5;2;0;3;0;1;1;0;0;0;0;299913,560933032070000;5639214,273992285100000;6,156236928000055;50,869932680000034;0
108012;5;9;13;0;2019;5;18;5;3;1;7;0;1;1;0;0;0;0;393036,117000000550000;5706580,855000000400000;7,458967109000071;51,500232136000079;0
108017;5;9;66;24;2019;5;14;7;3;0;6;0;1;1;0;0;0;0;421647,777250828220000;5655617,631647117400000;7,882249598000044;51,046746178000035;0
108019;5;3;62;32;2019;5;7;5;3;1;5;0;1;0;0;0;1;0;343260,607610031960000;5635353,388263875600000;6,773401764000028;50,848619984000038;0
108020;5;3;16;0;2019;5;7;6;3;5;2;0;1;1;0;0;0;0;363520,456014630380000;5655759,950723279300000;7,053371467000034;51,037157158000070;0
108023;5;1;11;0;2019;5;16;6;3;0;6;0;1;1;0;0;0;0;345585,251000000160000;5677259,745000002900000;6,788537862000055;51,225806964000071;1
108024;5;7;70;32;2019;5;0;7;3;0;6;2;1;1;0;0;0;0;493888,533584208230000;5789033,989843495200000;8,910474241000031;52,251669525000068;0
108030;5;9;78;24;2019;5;7;6;3;5;7;0;1;0;0;0;0;0;396941,425200469790000;5720911,824372611900000;7,511007865000067;51,629773020000073;0
108036;5;7;54;16;2019;5;18;7;3;4;3;0;1;0;0;0;0;0;448866,831118318250000;5755687,841408522800000;8,255998484000031;51,949544244000037;0
108040;5;5;70;44;2019;5;17;6;3;2;6;0;1;0;0;0;0;0;415970,014588367190000;5759565,211190100800000;7,776486858000055;51,980400894000070;0
