OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
205620;5200415411216170368;5;7;74;16;2020;4;16;4;3;0;1;0;1;0;0;0;0;0;475900,441700000320000;5717434,878599999500000;8,651988512000060;51,607435298000041;0
205621;5200417316100845200;5;9;74;40;2020;4;8;6;3;3;3;0;1;1;0;0;0;0;438854,649000000210000;5715145,132999999400000;8,117472698000029;51,584044938000034;0
205624;5200416600110073846;5;3;14;0;2020;4;18;5;2;0;1;0;1;0;0;0;0;0;364623,820199999960000;5624566,512399999400000;7,080662614000062;50,757064687000081;0
205627;5200415405244078112;5;7;54;44;2020;4;11;4;2;5;3;0;1;1;0;0;0;0;462733,795699999670000;5748517,547199999900000;8,458531093000033;51,886180436000075;0
205628;5200417518100276430;5;1;70;48;2020;4;12;6;3;5;2;0;1;1;0;0;0;0;336105,885099999610000;5726042,423000000400000;6,630310569000073;51,661437072000069;0
205629;5200415405112082109;5;7;54;12;2020;4;13;4;3;2;6;0;1;1;1;0;0;0;456436,919200000350000;5767272,515599999600000;8,364664501000050;52,054339584000047;0
205630;5200416705000064040;5;5;54;44;2020;4;14;5;3;0;1;0;1;0;1;0;0;0;364702,618499999870000;5741154,778999999200000;7,037618348000024;51,804850901000066;0
205631;5200418601200761137;5;3;15;0;2020;4;13;7;3;0;1;0;1;0;0;0;0;0;352480,646399999970000;5642778,129000000700000;6,901285783000049;50,917768259000070;0
205635;5200415405104080328;5;7;54;4;2020;4;17;4;3;5;3;0;1;0;0;0;0;0;452075,343999999580000;5772766,349999999600000;8,300287162000075;52,103370010000049;0
205636;5200416711131304297;5;5;70;12;2020;4;16;5;3;5;3;0;1;1;0;0;0;0;442112,024000000210000;5752182,778799999500000;8,158314811000025;51,917371405000040;0
205639;5200416513310814203;5;1;62;8;2020;4;6;5;3;5;3;1;1;1;0;0;0;0;331214,099299999890000;5662528,294800000300000;6,589817637000067;51,089387392000049;0
205640;5200418300711067605;5;9;16;0;2020;4;10;7;2;0;2;0;1;1;0;0;0;0;372502,849100000230000;5710894,204500000900000;7,161733614000070;51,534738139000069;0
205641;5200415400100566209;5;7;11;0;2020;4;11;4;3;5;2;0;1;1;0;0;0;0;468411,683299999680000;5765346,381500000100000;8,539478399000075;52,037834555000074;0
205644;5200416608100074681;5;3;34;2;2020;4;11;5;3;1;5;0;1;1;0;0;0;0;292886,412899999880000;5629251,685200000200000;6,062125769000033;50,777984889000038;0
